kalimat_id,kata,sense,kalimat
1053538,sarung,1202,"Kostum pemain diperbaharui dengan rompi dan sarung, rias wajah yang lebih baik, serta waktu pementasan yang bisa dibatasi lebih pendek dalam 1-2 jam."
1053542,sarung,1201,"Meskipun boxing terkenal berabad-abad lamanya sebagai suatu bentuk hiburan, namun seorang Inggris yang bernama Jack Broughton, juara britania, yang juga merupakan orang pertama yang menggunakan sarung tinju."
1053543,sarung,1201,Peraturan dan sarung tinju ini di perkenalkan pada tanggal 10 Agustus 1973.
1053557,sarung,1202,"Walaupun demikian sebagian budaya suku-suku Kalimantan merupakan hasil adaptasi, akulturasi, asimilasi, amalgamasi, dan inkorporasi unsur-unsur budaya dari luar misalnya sarung Samarinda, sarung Pagatan, wayang kulit Banjar, benang bintik (batik Dayak Ngaju), ampik (batik Dayak Kenyah), tari zafin dan sebagainya."
1053558,sarung,1201,"Menurut ""Humane Society"" dari Amerika Serikat, selain kucing menjadi hewan peliharaan, kucing juga digunakan untuk perdagangan bulu internasional, untuk membuat sebuah mantel, sarung tangan, topi, sepatu, selimut dan boneka mainan."
1053559,sarung,1201,"Sejak tahun 1862, Van Arcken memproduksi perhiasan mahkota, kotak sirih, sarung pedang dari emas dan perak, serta dekorasi lainnya untuk Kesultanan Yogyakarta dan Surakarta."
1053563,sarung,1201,"Praktik ini umumnya dianggap aktivitas seksual yang aman selama tangan dilindungi dengan sarung tangan lateks, kuku harus dipangkas karena kuku tajam atau bergerigi panjang dapat menyebabkan luka atau infeksi yang parah."
1053564,sarung,1201,"Dalam merangsang baik anus maupun vagina, bila menggunakan sarung tangan hindari penggunaan secara bergantian dengan orang lain untuk menghindari kontaminasi silang."
1053568,sarung,1202,"Desain ""kasot manek"" tradisional sering memiliki bentuk bunga Eropa, dengan warna yang dipengaruhi oleh porselin dan sarung batik Peranakan."
1053569,sarung,1202,"Sarung muna merupakan kain tenun khas buatan Suku Muna, Sulawesi Tenggara."
1053571,sarung,1202,"Pemakaian sarung ini ditentukan dengan aturan tertentu, sebagai pembeda antara golongan bangsawan dan rakyat jelata."
1053572,sarung,1202,"Sarung muna saat ini banyak dihasilkan pada daerah sentra pembuatan sarung muna di Desa Masalili, Kabupaten Muna."
1053574,sarung,1202,"Ia juga melarang kebiasaan mengunyah pinang bagi wanita Eropa, namun menganjurkan penggunaan sarung di kalangan mereka."
1053575,sarung,1202,"Pada 2001, anak Darmawan Widjaja yaitu Syenny dan Hendra Widjaja meneruskan usaha keluarga tersebut dengan menggunakan mereka Bakoel Koffie sebagai nama toko kopi mereka dan logo yang diperkenalkan adalah wanita berkain sarung membawa bakul bambu di kepalanya."
1053576,sarung,1201,"Pada jenis VR yang sering dipakai, seseorang memakai sarung tangan, ""earphone"", dan ""goggles"" yang disambungkan dengan komputer."
1053580,sarung,1201,"Tepung jagung juga digunakan sebagai bahan anti lengket pada proses transportasi gula dan produk yang terbuat dari lateks, termasuk kondom dan sarung tangan medis."
1053583,sarung,1201,"Lanier yang telah mendirikan perusahaan VPL Riset (dari ""pada 1985, yang mengembangkan dan membangun sistem ""kacamata hitam dan sarung tangan"" yang terkenal di dasawrsa itu."
1053584,sarung,1201,Dia juga menggunakan sepasang sarung tangan kulit.
1053589,sarung,1201,"SpongeBob dan Patrick naik bus untuk pulang dari Glove World, taman bermain yang berisi banyak benda berbentuk sarung tangan."
1053590,sarung,1201,"Begitu juga usaha peternakan sapi yang sapinya menjadi daging sapi potong, perkebunan tebu yang hasilnya diolah menjadi gula, dan perkebunan karet yang lateksnya dijadikan kondom dan sarung tangan."
1053591,sarung,1201,Woody memakai sebuah sarung pistol kosong di sabuknya.
1053592,sarung,1201,Kulit rusa digunakan sebagai sarung tangan di negara beriklim sedang.
1053596,sarung,1201,"Pada akhir perang, pasokan logam menipis dan shin gunto diproduksi dengan sarung pedang menggunakan kayu yang dicat, dan dengan lebih mudah dan tidak ada ornamen kuningan."
1053602,sarung,1202,"Pajak ini, yang dinamakan wulusau, dapat berupa uang atau barang, seperti beras, kain putih, sarung dan seterusnya."
1053604,sarung,1202,"Sebagaimana dengan pura-pura lain, setiap pengunjung yang hendak masuk ke tempat suci Pura Sakenan wajib mengenakan sarung dan sabuk kain khas Bali serta bagi yang wanita tidak sedang dalam masa menstruasi."
